Time [s]	Kenobi Ch.  1(Target)[mbar]	Kenobi Ch.  1(Read)[mbar]	Kenobi Ch.  2(Target)[mbar]	Kenobi Ch.  2(Read)[mbar]	Kenobi Ch.  3(Target)[mbar]	Kenobi Ch.  3(Read)[mbar]	Kenobi Ch.  4(Target)[mbar]	Kenobi Ch.  4(Read)[mbar]	hplc(Target) [µl/min]	hplc(Read)[µl/min]	hplc(Target) [µl/min]	hplc(Read)[µl/min]	Buffer2(Target) [µl/min]	Buffer2(Read)[µl/min]	bigsensor(Target) [µl/min]	bigsensor(Read)[µl/min]	
0.0000	0.0000	71.7773	0.0000	45.6543	0.0000	62.5000	0.0000	82.7637	0.0000	0.4673	0.0000	0.4673	0.0000	-0.0019	0.0000	-1082.8537	
0.1600	0.0000	72.0215	0.0000	45.8984	0.0000	62.7441	0.0000	83.0078	0.0000	0.4036	0.0000	0.4036	0.0000	-0.0149	0.0000	-1083.5175	
0.3600	0.0000	72.2656	0.0000	45.8984	0.0000	62.9883	0.0000	83.0078	0.0000	0.4673	0.0000	0.4673	0.0000	-0.0074	0.0000	-1083.5175	
0.5600	0.0000	72.0215	0.0000	45.8984	0.0000	62.7441	0.0000	83.0078	0.0000	0.4460	0.0000	0.4460	0.0000	-0.0121	0.0000	-1083.5175	
0.7600	0.0000	72.0215	0.0000	46.1426	0.0000	62.7441	0.0000	83.0078	0.0000	0.4779	0.0000	0.4779	0.0000	-0.0121	0.0000	-1083.5175	
0.9600	0.0000	72.0215	0.0000	45.8984	0.0000	62.9883	0.0000	82.7637	0.0000	0.4779	0.0000	0.4779	0.0000	-0.0121	0.0000	-1083.5175	
1.1600	0.0000	72.2656	0.0000	45.8984	0.0000	62.7441	0.0000	82.7637	0.0000	0.4885	0.0000	0.4885	0.0000	-0.0149	0.0000	-1083.5175	
1.3600	0.0000	71.7773	0.0000	45.6543	0.0000	62.5000	0.0000	82.5195	0.0000	0.4885	0.0000	0.4885	0.0000	-0.0074	0.0000	-1083.3847	
1.5610	0.0000	72.0215	0.0000	45.8984	0.0000	62.7441	0.0000	82.7637	0.0000	0.4460	0.0000	0.4460	0.0000	-0.0112	0.0000	-1083.5175	
1.7600	0.0000	72.0215	0.0000	45.8984	0.0000	62.9883	0.0000	82.7637	0.0000	0.4885	0.0000	0.4885	0.0000	-0.0177	0.0000	-1083.5175	
1.9600	0.0000	72.2656	0.0000	45.8984	0.0000	62.7441	0.0000	83.0078	0.0000	0.4779	0.0000	0.4779	0.0000	-0.0065	0.0000	-1083.5175	
2.1600	0.0000	72.0215	0.0000	45.6543	0.0000	62.5000	0.0000	82.5195	0.0000	0.5204	0.0000	0.5204	0.0000	-0.0149	0.0000	-1083.1192	
2.3600	0.0000	72.0215	0.0000	45.8984	0.0000	62.7441	0.0000	82.7637	0.0000	0.4673	0.0000	0.4673	0.0000	-0.0084	0.0000	-1083.3847	
2.5600	0.0000	72.0215	0.0000	45.8984	0.0000	62.7441	0.0000	82.7637	0.0000	0.3929	0.0000	0.3929	0.0000	-0.0102	0.0000	-1082.7209	
2.7610	0.0000	72.2656	0.0000	45.8984	0.0000	62.7441	0.0000	83.0078	0.0000	0.4885	0.0000	0.4885	0.0000	-0.0093	0.0000	-1083.5175	
2.9600	0.0000	72.0215	0.0000	45.8984	0.0000	62.7441	0.0000	83.0078	0.0000	0.5310	0.0000	0.5310	0.0000	-0.0074	0.0000	-1083.5175	
3.1600	0.0000	72.2656	0.0000	46.1426	0.0000	62.7441	0.0000	83.0078	0.0000	0.4354	0.0000	0.4354	0.0000	-0.0158	0.0000	-1082.8537	
3.3600	0.0000	72.2656	0.0000	46.1426	0.0000	62.9883	0.0000	83.0078	0.0000	0.3717	0.0000	0.3717	0.0000	-0.0112	0.0000	-1083.5175	
3.5600	0.0000	72.2656	0.0000	46.1426	0.0000	62.9883	0.0000	83.0078	0.0000	0.4885	0.0000	0.4885	0.0000	-0.0130	0.0000	-1083.5175	
3.7600	0.0000	72.2656	0.0000	45.6543	0.0000	62.7441	0.0000	83.0078	0.0000	0.4460	0.0000	0.4460	0.0000	-0.0037	0.0000	-1083.3847	
3.9600	0.0000	72.2656	0.0000	45.8984	0.0000	62.5000	0.0000	82.7637	0.0000	0.4142	0.0000	0.4142	0.0000	-0.0112	0.0000	-1082.9865	
4.1600	0.0000	72.2656	0.0000	46.1426	0.0000	62.7441	0.0000	83.0078	0.0000	0.5098	0.0000	0.5098	0.0000	-0.0074	0.0000	-1083.5175	
4.3600	0.0000	71.7773	0.0000	45.6543	0.0000	62.5000	0.0000	82.7637	0.0000	0.4779	0.0000	0.4779	0.0000	-0.0065	0.0000	-1082.9865	
4.5600	0.0000	72.0215	0.0000	45.6543	0.0000	62.5000	0.0000	82.7637	0.0000	0.4673	0.0000	0.4673	0.0000	-0.0102	0.0000	-1083.3847	
4.7600	0.0000	72.2656	0.0000	45.8984	0.0000	62.9883	0.0000	83.2520	0.0000	0.4354	0.0000	0.4354	0.0000	-0.0056	0.0000	-1083.3847	
4.9600	0.0000	72.0215	0.0000	45.8984	0.0000	62.7441	0.0000	83.0078	0.0000	0.4460	0.0000	0.4460	0.0000	-0.0130	0.0000	-1083.5175	
5.1600	0.0000	72.0215	0.0000	45.8984	0.0000	62.7441	0.0000	82.7637	0.0000	0.3929	0.0000	0.3929	0.0000	-0.0065	0.0000	-1083.1192	
5.3600	0.0000	72.0215	0.0000	45.8984	0.0000	62.7441	0.0000	82.7637	0.0000	0.4779	0.0000	0.4779	0.0000	-0.0130	0.0000	-1083.5175	
5.5600	0.0000	72.0215	0.0000	45.8984	0.0000	62.5000	0.0000	82.7637	0.0000	0.4036	0.0000	0.4036	0.0000	0.0000	0.0000	-1082.7209	
5.7600	0.0000	72.0215	0.0000	45.8984	0.0000	62.7441	0.0000	82.7637	0.0000	0.4673	0.0000	0.4673	0.0000	-0.0084	0.0000	-1083.5175	
